longitude,latitude,start_date,end_date,label,id
-55.710200937595,-11.548958332289,2000-02-18,2017-03-18,NoClass,274
-55.708074553468,-11.548958332289,2000-02-18,2017-03-18,NoClass,275
-55.705948169341,-11.548958332289,2000-02-18,2017-03-18,NoClass,276
-55.703821785213,-11.548958332289,2000-02-18,2017-03-18,NoClass,277
-55.701695401086,-11.548958332289,2000-02-18,2017-03-18,NoClass,278
-55.699569016959,-11.548958332289,2000-02-18,2017-03-18,NoClass,279
-55.697442632832,-11.548958332289,2000-02-18,2017-03-18,NoClass,280
-55.695316248705,-11.548958332289,2000-02-18,2017-03-18,NoClass,281
-55.693189864578,-11.548958332289,2000-02-18,2017-03-18,NoClass,282
-55.691063480451,-11.548958332289,2000-02-18,2017-03-18,NoClass,283
-55.688937096324,-11.548958332289,2000-02-18,2017-03-18,NoClass,284
-55.686810712197,-11.548958332289,2000-02-18,2017-03-18,NoClass,285
-55.68468432807,-11.548958332289,2000-02-18,2017-03-18,NoClass,286
-55.682557943943,-11.548958332289,2000-02-18,2017-03-18,NoClass,287
-55.680431559816,-11.548958332289,2000-02-18,2017-03-18,NoClass,288
-55.678305175688,-11.548958332289,2000-02-18,2017-03-18,NoClass,289
-55.676178791561,-11.548958332289,2000-02-18,2017-03-18,NoClass,290
-55.674052407434,-11.548958332289,2000-02-18,2017-03-18,NoClass,291
-55.671926023307,-11.548958332289,2000-02-18,2017-03-18,NoClass,292
-55.66979963918,-11.548958332289,2000-02-18,2017-03-18,NoClass,293
-55.667673255053,-11.548958332289,2000-02-18,2017-03-18,NoClass,294
-55.754440780274,-11.546874998956,2000-02-18,2017-03-18,NoClass,295
-55.752314411945,-11.546874998956,2000-02-18,2017-03-18,NoClass,296
-55.750188043615,-11.546874998956,2000-02-18,2017-03-18,NoClass,297
-55.748061675286,-11.546874998956,2000-02-18,2017-03-18,NoClass,298
-55.745935306956,-11.546874998956,2000-02-18,2017-03-18,NoClass,299
-55.743808938627,-11.546874998956,2000-02-18,2017-03-18,NoClass,300
-55.741682570298,-11.546874998956,2000-02-18,2017-03-18,NoClass,301
-55.739556201968,-11.546874998956,2000-02-18,2017-03-18,NoClass,302
-55.737429833639,-11.546874998956,2000-02-18,2017-03-18,NoClass,303
-55.73530346531,-11.546874998956,2000-02-18,2017-03-18,NoClass,304
-55.73317709698,-11.546874998956,2000-02-18,2017-03-18,NoClass,305
-55.731050728651,-11.546874998956,2000-02-18,2017-03-18,NoClass,306
-55.728924360321,-11.546874998956,2000-02-18,2017-03-18,NoClass,307
-55.726797991992,-11.546874998956,2000-02-18,2017-03-18,NoClass,308
